《标准日本语》 初级 下册

第26课
词汇Ⅰ
空港 (くうこう) (0)	[名] 机场
両替する (りょうがえする) (0)	[动3] 换钱，兑换
忘れる (わすれる) (0)	[动2] 忘记
出迎える (でむかえる) (0)	[动2] 迎接
全部 (ぜんぶ) (1)	[名] 一共
出迎え (でむかえ) (0)	[名] 来迎接
見つける (みつける) (0)	[动2] 找，找到
歓迎 (かんげい) (0)	[名] 欢迎
訪日 (ほうにち) (0)	[名] 访日，访问日本
出口 (でぐち) (1)	[名] 出口
背 (せ) (1)	[名] 个子
ほか (0)	[名] 以外
紹介する (しょうかいする) (0)	[动3] 介绍
よろしくお願いします (よろしくおねがいします) (0 + 6)	[寒暄] 请多关照
楽しみ (たのしみ) (4)	[名] 盼望，期待，乐于
言葉 (ことば) (3)	[名] 语言，词，话语，词语
覚える (おぼえる) (3)	[动2] 记住，学会
来日 (らいにち) (0)	[名] 来日，来到日本
目的 (もくてき) (0)	[名] 目的
展示場 (てんじじょう) (0)	[名] 展览会，展览现场
自動車 (じどうしゃ) (2)	[名] 汽车
見学 (けんがく) (0)	[名] 参观
ホテル (1)	[名] 饭店，旅馆
だいじょうぶだ (3)	[形动] 不要紧，没关系
李 (り) (1)	[专] 李
～団 (だん)	～目 (め)	～場 (じょう)	

词汇Ⅱ
おもしろさ (3)	[名] 趣味，乐趣
おもしろみ (0)	[名] 趣味，妙趣
苦しい (くるしい) (3)	[形] 苦
苦しさ (くるしさ) (3)	[名] 痛苦
苦しみ (くるしみ) (0)	[名] 痛苦
甘さ (あまさ) (0)	[名] 甜味，甜头
甘み (あまみ) (0)	[名] 甜味
片づける (かたづける) (4)	[动2] 收拾，整理
酒 (さけ) (0)	[名] 酒
結婚する (けっこんする) (0)	[动3] 结婚
火事 (かじ) (1)	[名] 着火，火灾
ストーブ (2)	[名] 炉子
消す (けす) (0)	[动1] 熄，灭


第27课
词汇Ⅰ
上がる (あがる) (0)	[动1] 上进
脱ぐ (ぬぐ) (1)	[动1] 脱
皆さん (みなさん) (2)	[名] 大家
おなか (0)	[名] 肚子
すく (0)	[动1] 饿
今夜 (こんや) (1)	[名] 今晚，今夜
案内する (あんないする) (3)	[动3] 领，带路，向导
いつも (1)	[副] 总是，经常
たぶん (1)	[副] 大概
混む (こむ) (1)	[动1] 拥挤
並べる (ならべる) (0)	[动2] 摆，排，上(菜)
説明する (せつめいする) (0)	[动3] 说明
そして (0)	[接续] 而且
ごちそうさまでした (8)	[寒暄] 吃好了，吃饱了
習慣 (しゅうかん) (0)	[名] 习惯
みんな (3)	[名] 都，全
満足する (まんぞくする) (1)	[动3] 满足，满意
器 (うつわ) (0)	[名] 器皿
盛り付け (もりつけ) (0)	[名] 盛法，装盘
気 (き) (0)	[名] 心，精神
楽しむ (たのしむ) (3)	[动1] 欣赏
ところで (3)	[接续] 不过，我说
祝い (いわい) (2)	[名] 喜庆，庆贺
笑う (わらう) (0)	[动1] 笑
～の時 (とき)	…ながら	～にしたがって	

词汇Ⅱ
はく (0)	[动1] 穿
靴下 (くつした) (2)	[名] 袜子
ズボン (2)	[名] 裤子
スカート (2)	[名] 裙子，合腰裙
上着 (うわぎ) (0)	[名] 上衣
シャツ (1)	[名] 衬衣
セーター (1)	[名] 毛衣
かぶる (2)	[动1] 戴
はずす (0)	[动1] 摘掉
眼鏡 (めがね) (1)	[名] 眼镜
締める (しめる) (2)	[动2] 系
つく (1)	[动1] (気がつく) 发现，注意到
入る (いる) (0)	[动1] (気に入る) 中意
なる (1)	[动1] (気になる) 成了心事，总惦记着
鍵 (かぎ) (2)	[名] 钥匙
眠る (ねむる) (0)	[动1] 睡觉
不便だ (ふべんだ) (1)	[形动] 不方便
昼間 (ひるま) (3)	[名] 白天
相談する (そうだんする) (0)	[动3] 商量
引く (ひく) (0)	[动1] (辞書を引く) 查词典


第28课
词汇Ⅰ
ラジオ・カセット (5)	[名] 收录机
電器 (でんき) (1)	[名] 电器
空 (そら) (1)	[名] 天空
曇る (くもる) (2)	[动1] 阴，阴沉
予定 (よてい) (0)	[名] 预定，计划，安排
場所 (ばじょ) (0)	[名] 场所，地方，地点
おみやげ (0)	[名] 礼物，土特产
どのくらい (0)	[词组] 多少
渋滞する (じゅうたいする) (0)	[动3] 阻塞
迷う (まよう) (2)	[动1] 犹豫不决
カタログ (0)	[名] 商品目录
そうすねば (4)	[词组] 那样的话
性能 (せいのう) (0)	[名] 性能
はっきり (3)	[副] 清楚
秋葉原 (あきはばら) (3)	[专] 秋叶原 (地名)
銀座 (ぎんざ) (0)	[专] 银座 (地名)
浅草 (あさくさ) (0)	[专] 浅草 (地名)
…(よ)う	～ので	…かもしねない	

词汇Ⅱ
立つ (たつ) (1)	[动1] 站，立
謝る (あやまる) (3)	[动1] 道歉
はがき (0)	[名] 明信片
調べる (しらべる) (3)	[动2] 调查
品川 (しながわ) (0)	[专] 品川 (地名)
目黒 (めぐろ) (1)	[专] 目黑 (地名)
渋谷 (しぶや) (0)	[专] 涩谷 (地名)
池袋 (いけぶくろ) (3)	[专] 池袋 (地名)


第29课
词汇Ⅰ
集める (あつめる) (3)	[动2] 收集
くれる (0)	[动2] 给 (我)
おかげ (0)	[名] 多亏 (您)
過ごす (すごす) (2)	[动1] 过，度过
