《标准日本语》 中级 上册

第1课
词汇Ⅰ
初め (はじめ) (0)	[名] 起初，当初
違い (ちがい) (0)	[名] 不同
失敗 (しっぱい) (0)	[名] 出差错，失败
気軽だ (きがるだ) (0)	[形动] 无拘束，爽快
言語学 (げんごがく) (3)	[名] 语言学
勉強以外 (べんきょういがい) (5)	[名] 除了学习以外
相談に乗る (そうだんにのる) (0)+(0)	[惯用] 帮人斟酌
現代 (げんだい) (1)	[名] 现代
尋ねる (たずねる) (3)	[动2] 询问
そんな (0)	[连体] 那种，那样
時 (とき) (2)	[名] 时，时候
どんどん (1)	[副] 接连不断
そんに (0)	[接] 还有
いっぱい (0)	[副] 满，很多
詩 (し) (0)	[名] 诗
作品 (さくひん) (0)	[名] 作品
計画 (けいかく) (0)	[名] 计划
各地 (かくち) (1)	[名] 各地
訪れる (おとずれる) (4)	[动2] 访问
できるだけ (0)	[词组] 尽量，尽可能
見聞 (けんぶん) (0)	[名] 见闻
広める (ひろめる) (3)	[动2] 扩大
見聞を広める (けんぶんを広める) (0)+(3)	[惯用] 长见识，扩大眼界
このごろ (0)	[名] 最近
それなら (3)	[词组] 那么
解説する (かいせつする) (0)	[动3] 解说
遠慮 (えんりょ) (0)	[名] 客气
やる気 (やるき) (0)	[名] 干劲
～として…	…うちに/うちは，…	～ばかり
～学 (がく)	～いがい (いがい)	～のような
…までに/まで，…	
…(さ) せてもらう/(さ) せていただく
…(さ) せてください	

词汇Ⅱ
先輩 (せんぱい) (0)	[名] 前辈，比自己先入学、先到工作岗位的人
優秀だ (ゆうしゅうだ) (0)	[形动] 优秀
賛成 (さんせい) (0)	[名] 赞成
石油 (せきゆ) (0)	[名] 石油
燃料 (ねんりょう) (3)	[名] 燃料
資料 (しりょう) (1)	[名] 资料
過ぎる (すぎる) (2)	[动2] 过
元気だ (げんきだ) (1)	[形动] 精神饱满
泊まる (とまる) (0)	[动1] 投宿，住
振る (ふる) (0)	[动1] 挥动
けんか (0)	[名] 吵架
湧く (わく) (0)	[动1] 涌出
動物 (どうぶつ) (0)	[名] 动物
訪問着 (ほうもんぎ) (3)	[名] 会客和服
訪問中 (ほうもんちゅう) (3)	[名] 正在访问中
物語 (ものがたり) (3)	[名] 故事
評論 (ひょうろん) (0)	[名] 评论
美術 (びじゅつ) (1)	[名] 美术
漫画 (まんが) (0)	[名] 漫画
演奏 (えんそう) (0)	[名] 演奏
展覧会 (てんらんかい) (3)	[名] 展览会
コンサート (1)	[名] 音乐会
博物館 (はくぶつかん) (4)	[名] 博物馆
鑑賞 (かんしょう) (0)	[名] 鉴赏
