《标准日本语》 中级 下册

第21课
词汇Ⅰ
火山 (かざん) (1)	[名] 火山
温泉 (おんせん) (0)	[名] 温泉
地球上 (ちきゅうじょう) (0)	[名] 地球上
陸地 (りくち) (0)	[名] 陆地
なんと (1)	[副] 多么……，竟然
存在 (そんざい) (0)	[名] 存在
頻繁だ (ひんぱんだ) (0)	[形动] 频繁
噴火 (ふんか) (0)	[名] （火山）喷发
噴き上げる (ふきあげる) (4)	[动2] 喷起
火山灰 (かざんばい) (2)	[名] 火山灰
市民 (しみん) (1)	[名] 市民
農作物 (のうさくぶつ) (4)	[名] 农作物
しばしば (1)	[副] 常常，每每
溶岩 (ようがん) (1)	[名] 熔岩
流れ出す (ながれだす) (4)	[动1] 流出
住民 (じゅうみん) (0)	[名] 居民
一時 (いちじ) (2)	[名] 短时间，短暂
避難する (ひなんする) (1)	[动3] 避难
騒ぎ (さわぎ) (1)	[名] 骚乱，混乱
ありがたい (4)	[形] 难得，值得庆幸
恵み (めぐみ) (0)	[名] 恩惠，好处
いたる所 (いたるところ) (6)	[词组] 到处，各处
湧き出る (わきでる) (3)	[动2] 喷涌
硫黄 (いおう) (0)	[名] 硫磺
カルシウム (3)	[名] 钙
成分 (せいぶん) (1)	[名] 成分
含む (ふくむ) (2)	[动1] 包含，含有
働き (はたらき) (0)	[名] 作用，效用
湯治 (とうじ) (0)	[名] 温泉疗法
景観 (けいかん) (0)	[名] 景色，景观
恵む (めぐむ) (0)	[动1] 施恩惠
数少ない (かずすむない) (1)	[形] 数目少
娯楽 (ごらく) (0)	[名] 娱乐
緑 (みどり) (1)	[名] 绿色
眺める (ながめる) (3)	[动2] 眺望，远眺
あるいは (2)	[接续] 或，或是
つかる (0)	[动1] 浸泡
温泉につかる (おんせんにつかる) (0)+(0)	[惯用] 洗温泉
このうえない (5)	[词组] 无上
風呂好きだ (ふろずきだ) (0)	[形动] 爱洗澡
過言 (かごん) (0)	[名] 言过其实
疲れ (つかれ) (3)	[名] 疲劳，疲倦
いやす (2)	[动2] 解除(痛苦)，治疗
育てる (そだてる) (3)	[动2] 培育，培养
飼う (かう) (1)	[动1] 饲养
地熱 (ちねつ) (0)	[名] 地热
発電 (はつでん) (0)	[名] 发电
